,Latitude,Longitude,Postal Code,StateID,Address
0,31.252,-85.427,36303.0,AL,3116 Montgomery Hwy
1,34.7409,-86.597,35801.0,AL,1818 University Dr NW
2,32.6264,-85.442,36830.0,AL,1805 Opelika Rd
3,33.185,-87.526,35405.0,AL,2620 McFarland Blvd E
4,30.6758,-88.146,36608.0,AL,3941 Airport Blvd
5,33.6169,-85.827,36203.0,AL,515 Quintard Dr
6,33.9806,-86.006,35901.0,AL,1725 Rainbow Dr
7,34.8338,-87.629,35630.0,AL,243 Cox Creek Pkwy
8,33.6047,-86.635,35235.0,AL,3525 Roosevelt Blvd
9,34.5796,-87.019,35601.0,AL,2027 Beltline Rd SW
10,32.3746,-86.204,36117.0,AL,300 Eastdale Cir
11,33.4387,-86.789,35216.0,AL,1030 Montgomery Hwy
0,31.252,-85.427,36303.0,AL,3116 Montgomery Hwy
1,34.7409,-86.597,35801.0,AL,1818 University Dr NW
2,32.6264,-85.442,36830.0,AL,1805 Opelika Rd
3,33.185,-87.526,35405.0,AL,2620 McFarland Blvd E
4,30.6758,-88.146,36608.0,AL,3941 Airport Blvd
5,33.6169,-85.827,36203.0,AL,515 Quintard Dr
6,33.9806,-86.006,35901.0,AL,1725 Rainbow Dr
7,34.8338,-87.629,35630.0,AL,243 Cox Creek Pkwy
8,33.6047,-86.635,35235.0,AL,3525 Roosevelt Blvd
9,34.5796,-87.019,35601.0,AL,2027 Beltline Rd SW
10,32.3746,-86.204,36117.0,AL,300 Eastdale Cir
11,33.4387,-86.789,35216.0,AL,1030 Montgomery Hwy
0,33.4871,-111.92,85251.0,AZ,3360 N Scottsdale Rd
1,32.1582,-110.99,85706.0,AZ,5315 S Calle Santa Cruz
2,32.2982,-110.97,85704.0,AZ,5061 N Oracle Rd
3,33.4789,-112.22,85035.0,AZ,2810 N 75th Ave
4,33.3938,-111.69,85206.0,AZ,6149 E Southern Ave
5,33.5792,-112.12,85051.0,AZ,10212 N 28th Dr
6,33.638,-112.22,85382.0,AZ,7921 W Bell Rd
7,33.3881,-111.85,85210.0,AZ,1403 S Alma School Rd
8,32.2215,-110.86,85711.0,AZ,5870 E Broadway Blvd Ste E-5
9,32.6999,-114.6,85365.0,AZ,1521 S Yuma Palms Pkwy
10,33.5978,-111.97,85254.0,AZ,4802 E Cactus Rd
11,32.415,-110.93,85737.0,AZ,11695 N Oracle Rd
12,34.5499,-112.43,86301.0,AZ,1821 E State Route 69
13,33.4644,-112.38,85395.0,AZ,15311 W McDowell Rd
14,33.2806,-111.78,85297.0,AZ,3845 S Gilbert Rd
15,33.3199,-111.96,85226.0,AZ,7240 W Ray Rd
16,33.6385,-112.35,85374.0,AZ,13709 W Bell Rd
17,35.1772,-111.66,86001.0,AZ,2500 S Beulah Blvd
0,34.7531,-92.367,72205.0,AR,8407 W Markham St
1,34.2076,-91.97,71601.0,AR,3000 Pines Mall Dr
2,35.8125,-90.669,72401.0,AR,2642 Red Wolf Blvd
3,36.3162,-94.183,72758.0,AR,1710 S 46th St
4,34.7922,-92.23,72116.0,AR,3707 McCain Blvd
5,35.3528,-94.351,72903.0,AR,7401 Rogers Ave
6,36.1233,-94.145,72703.0,AR,3885 N Shiloh Dr
7,34.451,-93.078,71913.0,AR,4500 Central Ave
0,33.9158,-117.88,92821.0,CA,250 Brea Mall Way
1,33.1832,-117.33,92054.0,CA,2471 Vista Way
2,34.6017,-118.14,93551.0,CA,1041 W Rancho Vista Blvd
3,32.7546,-117.21,92110.0,CA,3780 Sports Arena Blvd
4,33.7287,-116.4,92260.0,CA,72291 Highway 111
5,32.8563,-116.97,92071.0,CA,9888 N Magnolia Ave
6,33.8538,-118.14,90712.0,CA,4333 Candlewood St
7,35.3835,-119.09,93312.0,CA,8180 Rosedale Hwy
8,34.4718,-117.34,92392.0,CA,12180 Amargosa Rd
9,32.6309,-117.08,91910.0,CA,598 H St
10,33.7758,-117.91,92840.0,CA,12892 Harbor Blvd
11,34.1813,-118.88,91360.0,CA,156 W Hillcrest Dr
12,32.9127,-117.14,92126.0,CA,8330 Mira Mesa Blvd
13,34.0658,-117.28,92408.0,CA,195 E Hospitality Ln
14,32.776,-117.01,91942.0,CA,8703 Murray Dr
15,33.9031,-117.47,92505.0,CA,3700 Park Sierra Dr
16,34.1401,-118.01,91016.0,CA,928 W Huntington Dr
17,33.9454,-118.33,90303.0,CA,3400 W Century Blvd
18,34.6312,-118.14,93551.0,CA,"1041 W Avenue N \""P\"""
19,33.8365,-118.35,90503.0,CA,21233 Hawthorne Blvd
20,34.933,-120.41,93454.0,CA,1525 S Bradley Rd
21,34.0761,-117.55,91764.0,CA,4413 Mills Cir
22,34.2239,-119.15,93036.0,CA,1740 E Ventura Blvd
23,34.0842,-117.69,91763.0,CA,9345 Monte Vista Ave
24,34.1937,-118.62,91307.0,CA,22800 Vanowen St
25,34.4204,-118.58,91355.0,CA,27524 The Old Rd
26,33.9936,-117.91,91748.0,CA,17601 Castleton St
27,33.1832,-117.32,92054.0,CA,2685 Vista Way
28,33.5208,-117.15,92591.0,CA,41649 Margarita Rd
29,38.0076,-121.84,94565.0,CA,4095 Century Blvd
30,38.3469,-122.71,94928.0,CA,6440 Redwood Dr
31,37.6832,-121.04,95350.0,CA,3000 Sisk Rd
32,36.8086,-119.76,93710.0,CA,1460 E Shaw Ave
33,37.4329,-121.89,95035.0,CA,503 E Calaveras Blvd
34,38.6795,-121.27,95610.0,CA,6231 Sunrise Blvd
35,37.2524,-121.87,95118.0,CA,5343 Almaden Expy
36,39.7251,-121.8,95928.0,CA,2010 Business Ln
37,38.2581,-122.05,94533.0,CA,1525 Travis Blvd
