GEOID,School,ID,USnewsrank
Princeton,Princeton,18867,1
Harvard,Harvard,18483,2
Yale New Haven CT USA,Yale ,18043,3
Stanford,Stanford,17926,4
Columbia University,Columbia,18943,4
UChicago,UChicago,18314,4
Massachusetts Institute of Technology,MIT,18494,7
Duke University,Duke,18765,8
Philadelphia PA USA,Penn,19328,9
Caltech,Caltech,17811,10
Baltimore MD USA,Johns Hopkins,18560,10
Northwestern University Evanston Illinois USA,Northwestern,18290,12
Dartmouth,Dartmouth,18839,12
Brown,Brown,19348,14
Cornell,Cornell,18946,15
WashU St. Louis,WashU St. Louis,18729,15
nashville tn,Vanderbilt,19443,15
Notre Dame University South Bend IN,Notre Dame ,18366,18
Rice University Houston TX,Rice,19472,18
University of California Berkeley,Berkeley,17939,20
Emory,Emory,18152,21
Georgetown,Georgetown,18062,21
University of California Los Angeles,UCLA,17950,23
Carnegie Mellon,CMU,19232,23
University of Southern California,USC,17971,23
University of Virginia Charlottesville USA,UVA,19604,26
Tufts,Tufts,18524,27
Wake Forest,Wake Forest,18804,27
University of Michigan,Michigan,18633,29
Boston College,Boston College,18457,30
University of North Carolina,UNC,18795,30
New York City,NYU,18993,32
Rochester,Rochester,19073,33
Brandeis,Brandeis,18465,34
William and Mary,William and Mary,19598,34
Georgia Tech,Georgia Tech,18158,36
Case Western,Case Western,19091,37
UC Santa Barbara,UCSB,17959,37
University of California Irvine,UCI,17947,39
University of California San Diego,UCSD,17954,39
"Madison, WI",Wisconsin,19689,41
University of Illinois,Illinois,18321,41
Troy New York,RPI,19005,41
New Orleans LA USA,Tulane,18439,41
Boston MA USA,Boston University,18461,41
Davis CA USA,UC Davis,17942,41
Northeastern University,Northeastern,18506,47
Penn State,Penn State,19318,47
Florida-Gainesville,Florida-Gainesville,18120,47
Lehigh,Lehigh,19276,47
University of Miami,Miami(FL),18124,51
Ohio State,Ohio State,19133,52
Yeshiva University New York,Yeshiva,19079,52
University of Texas Austin TX,Texas,19518,52
Pepperdine,Pepperdine,17897,52
Seattle Washington USA,UW-Seattle,19657,52
George Washington University,GWU,18068,57
UConn,UConn,18031,57
Maryland-College Park,Maryland,18570,57
Worcester MA USA,WPI,18539,57
Syracuse New York,Syracuse,19054,61
Athens Georgia USA,UGA,18190,61
west lafayette indiana USA,Purdue,18357,61
Clemson South Carolina USA,Clemson,19361,61
Dallas Texas USA,SMU,19479,61
Brigham Young University Provo Utah,BYU,19553,66
Fordham University New York,Fordham,18956,66
University of Pittsburgh Pennsylvania,Pitt ,19332,66
University of Minnesota Minneapolis,Minnesota,18677,69
TAMU College Station TX,Texas A&M,19491,70
Virginia Tech,Virginia Tech,19611,70
Rutgers,Rutgers,18874,72
 Washington DC USA,American University,18058,72
Baylor,Baylor,19456,72
Newark DE,Delaware,18070,75
Clark University,Clark University,18470,75
Colorado Mines,Colorado Mines,17994,75
Indiana University,Indiana,18342,75
Michigan State University,Michigan State,18613,75
Stevens Tech,Stevens Tech,18880,75
UMass,UMass,18526,75
