School,ID,USnewsrank,ZipCode
Princeton,18867,1,8544
Harvard,18483,2,2138
Yale,18043,3,6520
Stanford,17926,4,94305
Columbia,18943,4,10027
UChicago,18314,4,60637
MIT,18494,7,2139
Duke,18765,8,27708
Penn,19328,9,19104
Caltech,17811,10,91125
JohnsHopkins,18560,10,21218
Northwestern,18290,12,60208
Dartmouth,18839,12,3755
Brown,19348,14,2912
Cornell,18946,15,14850
WashUSt.Louis,18729,15,63130
Vanderbilt,19443,15,37235
NotreDame,18366,18,46556
Rice,19472,18,77005
Berkeley,17939,20,94720
Emory,18152,21,30322
Georgetown,18062,21,20057
UCLA,17950,23,90095
CMU,19232,23,15213
USC,17971,23,90007
UVA,19604,26,22903
Tufts,18524,27,2155
WakeForest,18804,27,27106
Michigan,18633,29,48109
BostonCollege,18457,30,2467
UNC,18795,30,27514
NYU,18993,32,10012
Rochester,19073,33,14627
Brandeis,18465,34,2453
WilliamandMary,19598,34,23185
GeorgiaTech,18158,36,30332
CaseWestern,19091,37,44106
UCSB,17959,37,93106
UCI,17947,39,92697
UCSD,17954,39,92093
Wisconsin,19689,41,53706
Illinois,18321,41,61801
RPI,19005,41,12180
Tulane,18439,41,70118
BostonUniversity,18461,41,2215
UCDavis,17942,41,95616
Northeastern,18506,47,2115
PennState,19318,47,16801
Florida,18120,47,32611
Lehigh,19276,47,18015
Miami(FL),18124,51,33124
OhioState,19133,52,43210
Yeshiva,19079,52,10033
Texas,19518,52,78712
Pepperdine,17897,52,90263
UW-Seattle,19657,52,98195
GWU,18068,57,20052
UConn,18031,57,6269
Maryland,18570,57,20742
WPI,18539,57,1609
Syracuse,19054,61,13210
UGA,18190,61,30602
Purdue,18357,61,47907
Clemson,19361,61,29634
SMU,19479,61,75275
BYU,19553,66,84602
Fordham,18956,66,10458
Pitt,19332,66,15260
Minnesota,18677,69,55455
TAMU,19491,70,77840
VirginiaTech,19611,70,24061
Rutgers,18874,72,8854
AmericanUniversity,18058,72,20016
Baylor,19456,72,76706
Delaware,18070,75,19716
ClarkUniversity,18470,75,1610
ColoradoMines,17994,75,80401
Indiana,18342,75,47405
MichiganState,18613,75,48824
StevensTech,18880,75,7030
UMass,18526,75,1003
