,city,Population,Princeton,Harvard,Yale ,Stanford,Columbia,UChicago,MIT,Duke,Penn,Caltech,Johns Hopkins,Northwestern,Dartmouth,Brown,Cornell,WashU St. Louis,Vanderbilt,Notre Dame ,Rice,Berkeley,Emory,Georgetown,UCLA,CMU,USC,UVA,Tufts,Wake Forest,Michigan,Boston College,UNC,NYU,Rochester,Brandeis,William and Mary,Georgia Tech,Case Western,UCSB,UCI,UCSD,Wisconsin,Illinois,RPI,Tulane,Boston University,UC Davis,Northeastern,Penn State,Florida-Gainesville,Lehigh,Miami(FL),Ohio State,Yeshiva,Texas,Pepperdine,UW-Seattle,GWU,UConn,Maryland,WPI,Syracuse,UGA,Purdue,Clemson,SMU,BYU,Fordham,Pitt ,Minnesota,Texas A&M,Virginia Tech,Rutgers,American University,Baylor,Delaware,Clark University,Colorado Mines,Indiana,Michigan State,Stevens Tech,UMass
0,United States,318900000.00,44480,96448,57392,104864,96544,58768,67376,70976,97312,14520,70912,96896,34816,48912,126752,57712,54928,63072,30144,210944,45728,73184,211648,58304,175040,107904,44608,30920,201536,75584,122720,198720,35728,26408,37712,104576,33824,109056,98336,115488,182976,201600,46688,41888,141376,123808,132736,297600,197888,36912,61712,221120,11492,243072,30800,204480,111200,100832,178240,27776,99616,129632,186624,76352,51696,145088,55472,111552,183488,219968,129504,164032,62752,54784,82976,18936,20040,167104,206912,27464,114432
1,New York City,23484225.00,15220,17080,20384,7082,58880,6864,7576,9136,21840,835,7628,8768,6952,10572,34352,6064,4500,5604,1407,9820,5156,11264,7816,7900,6256,10080,7884,2917,18352,13764,6690,135872,6348,6038,3222,3643,1844,2712,2101,3036,9036,5914,8464,4802,22024,2049,13176,29960,8988,10392,6194,6622,8512,7366,802,4078,11876,29288,15128,1667,26000,3425,4505,2208,1873,1995,40256,5880,3965,2395,4850,108256,7022,850,15476,2387,192,7996,5780,19024,11476
2,San Francisco Bay,8469854.00,4297,8784,5174,50672,5418,3565,9492,4348,5948,2784,3305,5860,3131,4684,9588,2972,1832,2314,1725,117024,1460,3238,28944,8250,18224,3898,2559,635,10876,2426,2843,6834,1511,1097,849,4844,1305,24904,10840,19520,6664,8650,2312,1513,6026,48320,3733,5034,4548,1084,1206,4256,101,7730,2032,9132,3103,1493,4049,790,3390,1634,5782,1084,1235,4354,847,2023,4247,3205,2682,3313,1793,615,1324,488,428,3726,4262,647,3118
3,Washington D.C.,9443180.00,3548,6034,4226,3637,3785,3159,3700,5702,6102,373,16536,3984,1977,2943,7772,2802,2756,3395,988,4576,2544,29856,3697,3597,4044,26736,2364,2561,8692,2685,6984,4906,1949,1332,10164,3304,1230,1528,1186,1897,4718,4116,1901,2388,6192,1601,2768,18504,6142,1604,2070,5050,229,4672,650,3153,48192,2215,76672,527,5202,3125,3589,2477,966,3293,1302,6222,2628,3118,33176,4265,29448,954,4946,690,241,4302,4360,698,2824
4,Boston,8041303.00,2793,25208,4457,3094,3332,2105,20704,2613,4664,603,2687,2527,7428,6160,8738,1799,1338,2149,667,3411,1234,2826,2080,2609,1695,2833,17440,912,5176,31992,2048,3967,2795,9788,1042,1804,1014,867,703,1276,3000,2601,5218,1206,58592,965,78976,5242,2371,1685,1428,2387,163,2087,262,1735,3271,9084,2682,15960,7288,947,2494,973,439,1086,1351,1780,1694,1007,1807,2818,2018,331,2055,9444,133,1956,2230,576,47440
5,Philadelphia,7146706.00,1813,1806,1406,,1685,855,1100,1589,29976,149,2194,1302,703,1157,3869,818,684,1529,263,,842,1628,,1660,803,2349,835,674,2367,1431,1467,3216,1006,686,1025,947,552,,,,1282,,1190,702,2804,,1727,54736,1617,5060,1012,1737,189,962,146,,2743,1293,4604,342,3249,,1422,880,,,1061,8680,816,,2558,15808,1758,,33496,292,,1245,1457,1006,1528
6,Los Angeles,18351929.00,1757,4846,2908,6558,3463,1828,2438,1891,3138,4152,1615,3739,1258,2041,3965,1609,1126,1720,638,22128,1100,2146,109536,1831,84544,2023,1320,410,6234,1649,1736,8532,662,819,542,1453,572,25408,30200,17076,3525,3722,811,1208,5518,7990,2046,3987,2920,520,2069,3319,393,4848,12540,4734,2290,1069,2694,281,3474,1275,2930,510,1388,3970,832,1398,2409,1878,1299,2086,1524,750,884,312,246,3675,3575,343,1936
7,Chicago,9912730.00,1237,2647,1684,1917,1455,23232,1478,1829,1978,249,1193,38400,1116,1267,3105,3848,2051,9354,459,2073,1124,1945,1949,1353,2005,1650,909,587,14452,1822,1529,2398,738,559,551,1357,1109,743,633,801,17752,79488,578,1350,2685,709,1439,3430,2491,600,1254,5874,258,2569,349,1380,2083,819,1583,171,1785,1065,25184,683,902,1009,533,1608,4098,1366,1079,1231,1104,525,620,188,154,23912,14264,232,1026
8,Seattle,4459677.00,881,1699,1157,3435,1249,996,1694,1120,1376,513,985,1703,860,980,2475,1155,608,1078,591,3917,503,885,3030,1844,3512,1232,593,219,3728,601,1061,1539,541,303,418,1669,498,1835,1276,1976,2824,2872,757,491,1831,1942,1192,2058,2042,302,467,1996,45,2852,794,136384,1364,576,1667,288,1178,685,2480,,466,3784,236,784,2566,1668,1358,875,653,439,497,180,284,1695,2133,409,994
9,Atlanta,6162195.00,590,1238,699,,797,532,749,2191,1011,,812,1255,475,495,1723,892,3212,1069,392,,17720,915,,644,1209,2749,397,1724,2617,658,4390,1691,425,253,643,51680,428,,,,1490,1951,553,1361,1614,385,1121,3414,9484,390,1462,3093,75,2123,305,686,1538,964,2122,187,1479,54944,2802,5420,820,1152,412,1344,987,1393,2291,1385,735,568,742,183,,2542,2965,269,855
