City,State,Population,CityID
New York City,NY,23484225,1
San Francisco,CA,8469854,2
Washington,DC,9443180,3
Boston,MA,8041303,4
Philadelphia,PA,7146706,5
Los Angeles,CA,18351929,6
Chicago,IL,9912730,7
Seattle,WA,4459677,8
Atlanta,GA,6162195,9
Houston,TX,6508323,10
Denver,CO,3277309,11
Baltimore,MD,2785874,12
Dallas,TX,7206144,13
San Diego,CA,3263431,14
Raleigh,NC,2037430,15
Austin,TX,1943299,16
Miami,FL,6447610,17
Portland,OR,3022178,18
Minneapolis,MN,3797883,19
Detroit,MI,5314163,20
Hartford,CT,1489361,21
Irvine,CA,3145515,22
Charlotte,NC,2493040,23
Greensboro,NC,1619313,24
Pittsburgh,PA,2659937,25
Fresno,CA,1096961,26
Sacramento,CA,2482660,27
Phoenix,AZ,4489109,28
Milwaukee,WI,2040498,29
Saint Louis,MO,2905893,30
Cleveland,OH,3501538,31
Burlington,VT,216167,32
Portland,ME,627504,33
Providence,RI,1609367,34
Ithaca,NY,104691,35
Rochester,NY,1168141,36
Kansas City,MO,2393623,37
Nashville,TN,1876933,38
Memphis,TN,1369006,39
Birmingham,AL,1313105,40
Cincinnati,OH,2196629,41
Louisville,KY,1490724,42
South Bend,IN,721543,43
Indianapolis,IN,2336237,44
Columbus,OH,2370839,45
San Antonio,TX,2328652,46
Tampa,FL,2915582,47
Orlando,FL,2975658,48
West Palm Beach,FL,1518677,49
Jacksonville,FL,1518677,50
Las Vegas,NV,2273195,51
Charlottesville,VA,,52
"Richmond, Virginia",,,53
Norfolk,VA,1810266,54
Roanoke,VA,,55
Springfield,MA,698136,56
Greenville,SC,1395624,57
Charleston,SC,,58
"Asheville, North Carolina",,,59
Grand Rapids,MI,1407323,60
Lansing,MI,,61
"Barnstable/Yarmouth, Massachusetts",,,62
"Wilmington, North Carolina",,,63
"Hickory/Lenoir, North Carolina",,,64
"Greenville, North Carolina",,,65
Buffalo,NY,1213007,66
Syracuse,NY,741411,67
Albany,NY,1173061,68
Savannah,GA,,69
"Santa Barbara, California",,,70
"San Luis Obispo, California",,,71
Hawaiian Islands,,,72
Madison,WI,851332,73
Oshkosh,WI,,74
"Green Bay, Wisconsin",,,75
"Wausau, Wisconsin",,,76
"Urbana-Champaign, Illinois",,,77
"Peoria, Illinois",,,78
"New London/Norwich, Connecticut",,,79
New Orleans,LA,1467880,80
Baton Rouge,LA,,81
"Biloxi, Mississippi",,,82
"Stockton, California",,,83
"Salinas, California",,,84
Modesto,CA,788719,85
State College,PA,,86
Harrisburg,PA,1233708,87
Allentown,PA,,88
"Scranton, Pennsylvania",,,89
"Lancaster, Pennsylvania",,,90
"York, Pennsylvania",,,91
"Reading, Pennsylvania",,,92
"Gainesville, Florida",,,93
"Melbourne, Florida",,,94
Sarasota,FL,931788,95
Tallahassee,FL,,96
Dayton,OH,1079679,97
Toledo,OH,,98
Spokane,WA,679989,99
Bellingham,WA,,100
"Utica, New York",,,101
"Athens, Georgia",,,102
"Macon, Georgia",,,103
"Augusta, Georgia",,,104
Chattanooga,TN,940299,105
Columbus,GA,,106
"Lafayette, Indiana",,,107
"Fort Wayne, Indiana",,,108
Columbia,SC,922242,109
Myrtle Beach,SC,,110
"Florence, South Carolina",,,111
Oklahoma City,OK,1390835,112
Provo,UT,,113
Salt Lake City,UT,2393623,114
Pocatello,ID,,115
Boise,ID,729547,116
Johnstown,PA,,117
"Rochester, Minnesota",,,118
"Duluth, Minnesota",,,119
"St. Cloud, Minnesota",,,120
"Bryan/College Station, Texas",,,121
"Killeen/Temple, Texas",,,122
"Corpus Christi, Texas",,,123
"Tyler, Texas",,,124
Midland,TX,280419,125
Waco,TX,,126
"Lynchburg, Virginia",,,127
"Johnson City, Tennessee",,,128
"Longview, Texas",,,129
"Dover, Delaware",,,130
"Colorado Springs, Colorado",,,131
"Fort Collins, Colorado",,,132
"Grand Junction, Colorado",,,133
"Anchorage, Alaska",,,134
Albuquerque,NM,1163966,135
Bloomington,IN,,136
"Evansville, Indiana",,,137
"Saginaw, Michigan",,,138
"Kalamazoo, Michigan",,,139
"Pittsfield, Massachusetts",,,140
