,Field Position,Result
0,58.0,Punt
1,98.0,Punt
2,43.0,Punt
3,89.0,Missed FG
4,73.0,Punt
5,74.0,Interception
6,79.0,Interception
7,44.0,Punt
8,95.0,Punt
9,73.0,Missed FG
10,79.0,Touchdown
11,71.0,Touchdown
12,73.0,Interception
13,79.0,Fumble
14,54.0,Punt
15,95.0,Punt
16,54.0,Punt
17,90.0,Punt
18,85.0,Punt
19,63.0,Field Goal
20,70.0,Field Goal
21,82.0,Punt
22,58.0,Fumble
23,96.0,End of Half
0,71.0,Missed FG
1,68.0,Fumble
2,37.0,Punt
3,88.0,Punt
4,89.0,Touchdown
5,86.0,Punt
6,76.0,Punt
7,64.0,Fumble
8,31.0,Field Goal
9,82.0,End of Half
10,84.0,Punt
11,71.0,Punt
12,74.0,Punt
13,48.0,Punt
14,80.0,Interception
15,20.0,Touchdown
16,86.0,Fumble
17,38.0,Missed FG
18,72.0,Punt
19,69.0,Field Goal
20,76.0,Touchdown
0,74.0,Punt
1,80.0,Field Goal
2,75.0,Punt
3,70.0,Touchdown
4,84.0,Punt
5,92.0,Punt
6,71.0,Punt
7,91.0,Blocked Punt
8,81.0,Missed FG
9,69.0,End of Half
10,80.0,Interception
11,6.0,Touchdown
12,64.0,Touchdown
13,80.0,Punt
14,52.0,Punt
15,90.0,Field Goal
16,76.0,Touchdown
17,80.0,Touchdown
18,74.0,Touchdown
19,79.0,Downs
20,9.0,Touchdown
0,70.0,Touchdown
1,74.0,Punt
2,75.0,Interception
3,32.0,Field Goal
4,75.0,Fumble
5,80.0,Punt
6,70.0,Interception
7,9.0,Touchdown
8,65.0,Punt
9,74.0,Touchdown
10,60.0,Field Goal
11,85.0,Punt
12,85.0,End of Half
13,80.0,Interception
14,65.0,Interception
15,10.0,Touchdown
16,76.0,Interception
17,72.0,Punt
18,67.0,Punt
19,80.0,Fumble
20,35.0,Punt
21,80.0,Punt
22,65.0,Interception
23,42.0,Missed FG
24,59.0,Fumble
25,47.0,Downs
26,53.0,Downs
0,80.0,Punt
1,88.0,Punt
2,84.0,Punt
3,50.0,Downs
4,56.0,Punt
5,68.0,Punt
6,84.0,Punt
7,67.0,Interception
8,80.0,Punt
9,68.0,Punt
10,82.0,Field Goal
11,80.0,Punt
12,86.0,Punt
13,45.0,Punt
14,95.0,Punt
15,83.0,Punt
16,66.0,Field Goal
17,85.0,Punt
18,65.0,Punt
19,91.0,Touchdown
20,87.0,Touchdown
0,51.0,Field Goal
1,70.0,Punt
2,78.0,Punt
3,49.0,Field Goal
4,86.0,Punt
5,23.0,Touchdown
6,75.0,Field Goal
7,80.0,Punt
8,58.0,Punt
9,85.0,Punt
10,74.0,Punt
11,61.0,End of Half
12,55.0,Touchdown
13,72.0,Interception
14,82.0,Touchdown
15,81.0,Punt
16,88.0,Punt
17,73.0,Fumble
18,34.0,Field Goal
19,74.0,Punt
20,64.0,Touchdown
21,81.0,Downs
22,36.0,Punt
23,80.0,Touchdown
0,80.0,Punt
1,81.0,Punt
2,67.0,Punt
3,74.0,Field Goal
4,68.0,Punt
5,80.0,Punt
6,70.0,Fumble
7,78.0,Touchdown
8,90.0,Punt
9,51.0,End of Half
10,87.0,Touchdown
11,75.0,Punt
12,63.0,Punt
13,86.0,Downs
14,49.0,Punt
15,89.0,Punt
16,64.0,Interception
17,80.0,Touchdown
18,79.0,Interception
0,80.0,Interception
1,80.0,Punt
2,88.0,Fumble
3,65.0,Field Goal
4,78.0,Touchdown
5,69.0,Field Goal
6,63.0,Downs
7,45.0,Missed FG
8,72.0,Punt
9,86.0,Touchdown
10,80.0,Punt
11,63.0,Punt
12,91.0,Punt
13,34.0,Missed FG
14,58.0,Touchdown
15,80.0,Punt
16,99.0,Punt
17,67.0,Downs
18,65.0,Downs
0,54.0,Touchdown
1,80.0,Punt
2,53.0,Touchdown
3,80.0,Field Goal
4,81.0,Punt
5,68.0,Punt
6,88.0,Punt
7,13.0,Touchdown
8,81.0,Interception
9,76.0,Punt
10,65.0,Touchdown
11,80.0,Punt
12,59.0,Touchdown
13,64.0,Punt
14,15.0,Interception
15,30.0,Missed FG
16,84.0,End of Half
17,71.0,Touchdown
18,84.0,Field Goal
19,12.0,Field Goal
20,58.0,Touchdown
21,84.0,Interception
22,30.0,Fumble
23,78.0,Touchdown
24,83.0,Interception
0,64.0,Field Goal
1,80.0,Blocked FG
2,48.0,Field Goal
3,78.0,Touchdown
4,83.0,Punt
5,80.0,Punt
6,90.0,Punt
7,86.0,Punt
8,56.0,Touchdown
9,78.0,Missed FG
10,80.0,Punt
11,79.0,Touchdown
12,80.0,Punt
13,86.0,Punt
14,58.0,Punt
15,88.0,Punt
16,84.0,Touchdown
17,81.0,Touchdown
18,69.0,Downs
19,74.0,Touchdown
20,72.0,Touchdown
0,80.0,Punt
1,74.0,Punt
2,71.0,Interception
3,36.0,Field Goal
4,92.0,Punt
5,56.0,Field Goal
6,78.0,Field Goal
7,78.0,Punt
8,89.0,Punt
9,73.0,Punt
10,77.0,Punt
11,68.0,Touchdown
12,80.0,Interception
13,34.0,Fumble
14,60.0,Field Goal
15,80.0,Punt
16,66.0,Punt
17,80.0,Punt
18,69.0,Touchdown
19,82.0,Punt
20,61.0,Field Goal
21,80.0,Touchdown
22,84.0,Punt
23,98.0,Punt
24,38.0,Downs
25,67.0,Punt
0,78.0,Field Goal
1,71.0,Punt
2,80.0,Downs
3,97.0,Punt
4,44.0,Touchdown
5,74.0,Interception
6,75.0,Fumble
7,63.0,Fumble
8,77.0,Touchdown
9,60.0,End of Half
10,80.0,Punt
11,92.0,Punt
12,80.0,Punt
13,90.0,Interception
14,11.0,Field Goal
15,71.0,Field Goal
16,62.0,Punt
17,76.0,Field Goal
18,72.0,Touchdown
0,,
1,19.0,Interception
2,80.0,Punt
3,70.0,Punt
4,68.0,Punt
5,73.0,Fumble
6,38.0,Punt
7,96.0,Interception
8,67.0,Missed FG
9,73.0,Touchdown
10,74.0,Punt
11,69.0,Touchdown
12,80.0,End of Half
13,74.0,Punt
14,80.0,Punt
15,99.0,Touchdown
16,80.0,Punt
17,62.0,Touchdown
18,80.0,Punt
19,80.0,Punt
20,80.0,Punt
21,76.0,Punt
22,88.0,Downs
23,92.0,Punt
0,51.0,Missed FG
1,61.0,Punt
2,92.0,Punt
3,82.0,Interception
4,57.0,Punt
5,80.0,Punt
6,59.0,Punt
7,80.0,Punt
8,78.0,Field Goal
9,76.0,Interception
10,86.0,Safety
11,56.0,Interception
12,1.0,Touchdown
13,80.0,Punt
14,89.0,Punt
15,59.0,Downs
16,79.0,Touchdown
17,68.0,Punt
18,64.0,Field Goal
19,71.0,Punt
20,73.0,Downs
21,30.0,Field Goal
22,72.0,Field Goal
23,72.0,Touchdown
24,62.0,Interception
0,49.0,Downs
1,60.0,Punt
2,83.0,Missed FG
3,68.0,Touchdown
4,68.0,Punt
5,73.0,Punt
6,72.0,Touchdown
7,80.0,Punt
8,65.0,Interception
9,70.0,Field Goal
10,79.0,Punt
11,97.0,Downs
12,64.0,Field Goal
13,77.0,Field Goal
14,62.0,Touchdown
15,81.0,Touchdown
16,,
17,31.0,Touchdown
0,71.0,Interception
1,71.0,Punt
2,84.0,Touchdown
3,33.0,Fumble
4,91.0,Fumble
5,45.0,Touchdown
6,76.0,Punt
7,87.0,Punt
8,64.0,Field Goal
9,41.0,Field Goal
10,85.0,Interception
11,63.0,Punt
12,82.0,Punt
13,48.0,Punt
14,80.0,Punt
15,73.0,Punt
16,67.0,Punt
17,68.0,Field Goal
18,77.0,Touchdown
19,71.0,Touchdown
20,89.0,Touchdown
21,71.0,Interception
0,80.0,Field Goal
1,61.0,Punt
2,95.0,Punt
3,57.0,Interception
4,54.0,Blocked Punt
5,53.0,Touchdown
6,80.0,Touchdown
7,80.0,Touchdown
8,80.0,Field Goal
9,56.0,Touchdown
10,80.0,End of Half
11,80.0,Fumble
12,92.0,Fumble
13,47.0,Touchdown
14,80.0,Touchdown
15,81.0,Punt
16,68.0,Interception
17,92.0,Punt
0,76.0,Fumble
1,52.0,Field Goal
2,69.0,Punt
3,79.0,Interception
4,56.0,Punt
5,86.0,Punt
6,62.0,Punt
7,75.0,Touchdown
8,76.0,Touchdown
9,83.0,End of Half
10,72.0,Punt
11,47.0,Field Goal
12,73.0,Fumble
13,27.0,Touchdown
14,79.0,Punt
15,71.0,Punt
16,63.0,Punt
17,83.0,Field Goal
18,81.0,Interception
19,16.0,Touchdown
20,74.0,Field Goal
0,73.0,Punt
1,63.0,Touchdown
2,80.0,Touchdown
3,83.0,Interception
4,11.0,Touchdown
5,80.0,Punt
6,90.0,Punt
7,6.0,Touchdown
8,70.0,Punt
9,59.0,Interception
10,80.0,Touchdown
11,76.0,Missed FG
12,72.0,Punt
13,96.0,Fumble
14,62.0,Touchdown
15,73.0,Punt
16,91.0,Punt
17,84.0,Punt
18,66.0,Punt
19,85.0,Punt
20,29.0,Field Goal
21,79.0,Field Goal
0,75.0,Touchdown
1,74.0,Field Goal
2,80.0,Field Goal
3,80.0,Punt
4,26.0,Blocked FG
5,80.0,Punt
6,71.0,Fumble
7,79.0,Fumble
8,68.0,Touchdown
9,86.0,Punt
10,83.0,End of Half
11,80.0,Punt
12,68.0,Missed FG
13,63.0,Fumble
14,38.0,Touchdown
15,64.0,Touchdown
16,72.0,Punt
17,85.0,Touchdown
18,80.0,Punt
19,62.0,Downs
20,69.0,Punt
21,80.0,Interception
0,80.0,Punt
1,84.0,Punt
2,76.0,Punt
3,79.0,Field Goal
4,40.0,Punt
5,80.0,Punt
6,89.0,Field Goal
7,80.0,Punt
8,80.0,Punt
9,71.0,End of Half
10,80.0,Interception
11,49.0,Field Goal
12,80.0,Punt
13,80.0,Punt
14,70.0,Interception
15,94.0,Punt
16,61.0,Punt
17,82.0,Punt
18,72.0,Touchdown
19,69.0,Touchdown
20,80.0,Downs
0,79.0,Punt
1,80.0,Punt
2,49.0,Punt
3,85.0,Fumble
4,17.0,Field Goal
5,62.0,Punt
6,82.0,Interception
7,84.0,Punt
8,60.0,Field Goal
9,67.0,Field Goal
10,90.0,Field Goal
11,76.0,End of Half
12,56.0,Touchdown
13,75.0,Punt
14,55.0,Field Goal
15,78.0,Punt
16,85.0,Field Goal
17,85.0,Punt
18,55.0,Punt
19,80.0,Punt
20,77.0,Punt
21,90.0,Downs
0,74.0,Touchdown
1,85.0,Touchdown
2,80.0,Punt
3,88.0,Punt
4,53.0,Field Goal
5,60.0,Punt
6,80.0,Interception
7,73.0,Field Goal
8,70.0,Punt
9,97.0,Punt
10,54.0,Touchdown
11,79.0,Field Goal
12,,
13,22.0,Touchdown
14,80.0,Interception
15,24.0,Touchdown
16,94.0,Punt
17,77.0,Field Goal
18,35.0,Touchdown
19,73.0,Punt
20,75.0,Punt
21,52.0,Touchdown
22,81.0,Downs
23,95.0,"Fumble, Safety"
24,72.0,Interception
0,80.0,Punt
1,73.0,Touchdown
2,77.0,Touchdown
3,75.0,Touchdown
4,80.0,Punt
5,54.0,Touchdown
6,72.0,Touchdown
7,75.0,Interception
8,29.0,Touchdown
9,80.0,Punt
10,73.0,Field Goal
11,81.0,Field Goal
12,,
13,76.0,Punt
14,72.0,Punt
15,99.0,Touchdown
16,80.0,Punt
17,84.0,Punt
18,65.0,Touchdown
19,66.0,Punt
20,76.0,Punt
21,73.0,Downs
22,67.0,Punt
23,80.0,Punt
24,68.0,Field Goal
25,74.0,Fumble
