,GameKey,year,week,Home,Away,HomeScore,AwayScore
0,54467,2009,1,PIT,TEN,13,10
1,54468,2009,1,ATL,MIA,19,7
2,54469,2009,1,BAL,KC,38,24
3,54470,2009,1,CAR,PHI,10,38
4,54471,2009,1,CIN,DEN,7,12
5,54472,2009,1,CLE,MIN,20,34
6,54473,2009,1,HOU,NYJ,7,24
7,54474,2009,1,IND,JAC,14,12
8,54475,2009,1,NO,DET,45,27
9,54476,2009,1,TB,DAL,21,34
10,54477,2009,1,ARI,SF,16,20
11,54478,2009,1,NYG,WAS,23,17
12,54479,2009,1,SEA,STL,28,0
13,54480,2009,1,GB,CHI,21,15
14,54481,2009,1,NE,BUF,25,24
15,54482,2009,1,OAK,SD,20,24
16,54483,2009,2,ATL,CAR,28,20
17,54484,2009,2,DET,MIN,13,27
18,54485,2009,2,GB,CIN,24,31
19,54486,2009,2,JAC,ARI,17,31
20,54487,2009,2,KC,OAK,10,13
21,54488,2009,2,NYJ,NE,16,9
22,54489,2009,2,PHI,NO,22,48
23,54490,2009,2,TEN,HOU,31,34
24,54491,2009,2,WAS,STL,9,7
25,54492,2009,2,BUF,TB,33,20
26,54493,2009,2,SF,SEA,23,10
27,54494,2009,2,CHI,PIT,17,14
28,54495,2009,2,DEN,CLE,27,6
29,54496,2009,2,SD,BAL,26,31
30,54497,2009,2,DAL,NYG,31,33
31,54498,2009,2,MIA,IND,23,27
32,54504,2009,3,BAL,CLE,34,3
33,54505,2009,3,CIN,PIT,23,20
34,54506,2009,3,DET,WAS,19,14
35,54507,2009,3,HOU,JAC,24,31
36,54508,2009,3,MIN,SF,27,24
37,54509,2009,3,NE,ATL,26,10
38,54510,2009,3,PHI,KC,34,14
39,54511,2009,3,STL,GB,17,36
40,54512,2009,3,TB,NYG,0,24
41,54513,2009,3,BUF,NO,7,27
42,54514,2009,3,SEA,CHI,19,25
43,54499,2009,3,NYJ,TEN,24,17
44,54500,2009,3,OAK,DEN,3,23
45,54501,2009,3,SD,MIA,23,13
46,54502,2009,3,ARI,IND,10,31
47,54503,2009,3,DAL,CAR,21,7
48,54515,2009,4,CHI,DET,48,24
49,54516,2009,4,CLE,CIN,20,23
50,54517,2009,4,HOU,OAK,29,6
51,54518,2009,4,IND,SEA,34,17
52,54519,2009,4,JAC,TEN,37,17
53,54520,2009,4,KC,NYG,16,27
54,54521,2009,4,NE,BAL,27,21
55,54522,2009,4,WAS,TB,16,13
56,54523,2009,4,MIA,BUF,38,10
57,54524,2009,4,NO,NYJ,24,10
58,54525,2009,4,DEN,DAL,17,10
59,54526,2009,4,SF,STL,35,0
60,54527,2009,4,PIT,SD,38,28
61,54528,2009,4,MIN,GB,30,23
62,54529,2009,5,BAL,CIN,14,17
63,54530,2009,5,BUF,CLE,3,6
64,54531,2009,5,CAR,WAS,20,17
65,54532,2009,5,DET,PIT,20,28
66,54533,2009,5,KC,DAL,20,26
67,54534,2009,5,NYG,OAK,44,7
68,54535,2009,5,PHI,TB,33,14
69,54536,2009,5,STL,MIN,10,38
70,54537,2009,5,SF,ATL,10,45
71,54538,2009,5,ARI,HOU,28,21
72,54539,2009,5,DEN,NE,20,17
73,54540,2009,5,SEA,JAC,41,0
74,54541,2009,5,TEN,IND,9,31
75,54542,2009,5,MIA,NYJ,31,27
76,54543,2009,6,CIN,HOU,17,28
77,54544,2009,6,GB,DET,26,0
78,54545,2009,6,JAC,STL,23,20
79,54546,2009,6,MIN,BAL,33,31
80,54547,2009,6,NO,NYG,48,27
81,54548,2009,6,PIT,CLE,27,14
82,54549,2009,6,TB,CAR,21,28
83,54550,2009,6,WAS,KC,6,14
84,54551,2009,6,OAK,PHI,13,9
85,54552,2009,6,SEA,ARI,3,27
86,54553,2009,6,NE,TEN,59,0
87,54554,2009,6,NYJ,BUF,13,16
88,54555,2009,6,ATL,CHI,21,14
89,54556,2009,6,SD,DEN,23,34
90,54557,2009,7,CIN,CHI,45,10
91,54558,2009,7,CLE,GB,3,31
92,54559,2009,7,HOU,SF,24,21
93,54560,2009,7,KC,SD,7,37
