,Down,ToGo,Success,Attempt,Team,DriveResult,DriveStart,DownGo,FieldPosition
1,1.0,10.0,0.0,1.0,PIT,Punt,-8.0,"1,10",58.0
2,2.0,5.0,0.0,1.0,PIT,Punt,-8.0,"2,5",53.0
3,3.0,8.0,0.0,1.0,PIT,Punt,-8.0,"3,8",56.0
4,4.0,8.0,0.0,1.0,PIT,Punt,-8.0,"4,8",56.0
0,1.0,10.0,0.0,1.0,TEN,Punt,-48.0,"1,10",98.0
1,2.0,10.0,0.0,1.0,TEN,Punt,-48.0,"2,10",98.0
2,3.0,6.0,0.0,1.0,TEN,Punt,-48.0,"3,6",94.0
3,4.0,8.0,0.0,1.0,TEN,Punt,-48.0,"4,8",96.0
0,1.0,10.0,1.0,1.0,PIT,Punt,7.0,"1,10",43.0
1,2.0,7.0,1.0,1.0,PIT,Punt,7.0,"2,7",40.0
2,1.0,10.0,0.0,1.0,PIT,Punt,7.0,"1,10",30.0
3,2.0,11.0,0.0,1.0,PIT,Punt,7.0,"2,11",31.0
4,3.0,2.0,0.0,1.0,PIT,Punt,7.0,"3,2",22.0
5,4.0,21.0,0.0,1.0,PIT,Punt,7.0,"4,21",41.0
0,1.0,10.0,1.0,1.0,TEN,Missed FG,-39.0,"1,10",89.0
1,1.0,10.0,1.0,1.0,TEN,Missed FG,-39.0,"1,10",42.0
2,1.0,10.0,0.0,1.0,TEN,Missed FG,-39.0,"1,10",22.0
3,2.0,7.0,0.0,1.0,TEN,Missed FG,-39.0,"2,7",19.0
4,3.0,7.0,0.0,1.0,TEN,Missed FG,-39.0,"3,7",19.0
5,4.0,7.0,0.0,1.0,TEN,Missed FG,-39.0,"4,7",19.0
0,1.0,10.0,0.0,1.0,PIT,Punt,-23.0,"1,10",73.0
1,2.0,9.0,0.0,1.0,PIT,Punt,-23.0,"2,9",72.0
2,3.0,7.0,0.0,1.0,PIT,Punt,-23.0,"3,7",70.0
3,4.0,16.0,0.0,1.0,PIT,Punt,-23.0,"4,16",79.0
0,1.0,10.0,1.0,1.0,TEN,Interception,-24.0,"1,10",74.0
1,1.0,10.0,1.0,1.0,TEN,Interception,-24.0,"1,10",64.0
2,1.0,15.0,1.0,1.0,TEN,Interception,-24.0,"1,15",69.0
3,2.0,6.0,1.0,1.0,TEN,Interception,-24.0,"2,6",60.0
4,3.0,3.0,1.0,1.0,TEN,Interception,-24.0,"3,3",57.0
5,1.0,10.0,0.0,1.0,TEN,Interception,-24.0,"1,10",49.0
6,2.0,5.0,0.0,1.0,TEN,Interception,-24.0,"2,5",44.0
0,1.0,10.0,0.0,1.0,PIT,Interception,-29.0,"1,10",79.0
1,2.0,8.0,0.0,1.0,PIT,Interception,-29.0,"2,8",77.0
2,3.0,7.0,0.0,1.0,PIT,Interception,-29.0,"3,7",76.0
0,1.0,10.0,1.0,1.0,TEN,Punt,6.0,"1,10",44.0
2,2.0,9.0,1.0,1.0,TEN,Punt,6.0,"2,9",43.0
3,1.0,10.0,0.0,1.0,TEN,Punt,6.0,"1,10",32.0
4,2.0,12.0,0.0,1.0,TEN,Punt,6.0,"2,12",34.0
5,3.0,12.0,0.0,1.0,TEN,Punt,6.0,"3,12",34.0
6,4.0,22.0,0.0,1.0,TEN,Punt,6.0,"4,22",44.0
0,1.0,10.0,1.0,1.0,PIT,Punt,-45.0,"1,10",95.0
1,2.0,2.0,1.0,1.0,PIT,Punt,-45.0,"2,2",87.0
2,3.0,2.0,1.0,1.0,PIT,Punt,-45.0,"3,2",87.0
3,1.0,10.0,1.0,1.0,PIT,Punt,-45.0,"1,10",79.0
4,2.0,1.0,1.0,1.0,PIT,Punt,-45.0,"2,1",70.0
5,2.0,6.0,1.0,1.0,PIT,Punt,-45.0,"2,6",75.0
6,2.0,16.0,1.0,1.0,PIT,Punt,-45.0,"2,16",85.0
7,1.0,10.0,0.0,1.0,PIT,Punt,-45.0,"1,10",67.0
8,2.0,9.0,0.0,1.0,PIT,Punt,-45.0,"2,9",66.0
9,3.0,5.0,0.0,1.0,PIT,Punt,-45.0,"3,5",62.0
10,4.0,5.0,0.0,1.0,PIT,Punt,-45.0,"4,5",62.0
0,1.0,10.0,1.0,1.0,TEN,Missed FG,-23.0,"1,10",73.0
1,2.0,10.0,1.0,1.0,TEN,Missed FG,-23.0,"2,10",73.0
2,3.0,6.0,1.0,1.0,TEN,Missed FG,-23.0,"3,6",69.0
3,1.0,10.0,1.0,1.0,TEN,Missed FG,-23.0,"1,10",61.0
4,2.0,7.0,1.0,1.0,TEN,Missed FG,-23.0,"2,7",58.0
