,Down,ToGo,Success,Attempt,Team,DriveResult,DriveStart,DownGo,FieldPosition,GameKey,Opponent,DriveNum
1,1.0,10.0,1.0,1.0,NO,Touchdown,-27.0,"1,10",77.0,54863.0,MIN,1.0
2,1.0,10.0,1.0,1.0,NO,Touchdown,-27.0,"1,10",49.0,54863.0,MIN,1.0
3,1.0,10.0,1.0,1.0,NO,Touchdown,-27.0,"1,10",37.0,54863.0,MIN,1.0
4,2.0,10.0,1.0,1.0,NO,Touchdown,-27.0,"2,10",37.0,54863.0,MIN,1.0
5,3.0,2.0,1.0,1.0,NO,Touchdown,-27.0,"3,2",29.0,54863.0,MIN,1.0
1,1.0,10.0,0.0,1.0,MIN,Punt,-30.0,"1,10",80.0,54863.0,NO,2.0
2,2.0,7.0,0.0,1.0,MIN,Punt,-30.0,"2,7",77.0,54863.0,NO,2.0
3,3.0,2.0,0.0,1.0,MIN,Punt,-30.0,"3,2",72.0,54863.0,NO,2.0
4,4.0,3.0,0.0,1.0,MIN,Punt,-30.0,"4,3",73.0,54863.0,NO,2.0
0,1.0,10.0,0.0,1.0,NO,Punt,-23.0,"1,10",73.0,54863.0,MIN,3.0
1,2.0,12.0,0.0,1.0,NO,Punt,-23.0,"2,12",75.0,54863.0,MIN,3.0
2,3.0,10.0,0.0,1.0,NO,Punt,-23.0,"3,10",73.0,54863.0,MIN,3.0
3,4.0,10.0,0.0,1.0,NO,Punt,-23.0,"4,10",73.0,54863.0,MIN,3.0
0,1.0,10.0,1.0,1.0,MIN,Punt,-20.0,"1,10",70.0,54863.0,NO,4.0
1,2.0,1.0,1.0,1.0,MIN,Punt,-20.0,"2,1",61.0,54863.0,NO,4.0
2,3.0,1.0,1.0,1.0,MIN,Punt,-20.0,"3,1",61.0,54863.0,NO,4.0
3,1.0,10.0,0.0,1.0,MIN,Punt,-20.0,"1,10",59.0,54863.0,NO,4.0
4,2.0,10.0,0.0,1.0,MIN,Punt,-20.0,"2,10",59.0,54863.0,NO,4.0
5,2.0,20.0,0.0,1.0,MIN,Punt,-20.0,"2,20",69.0,54863.0,NO,4.0
6,2.0,30.0,0.0,1.0,MIN,Punt,-20.0,"2,30",79.0,54863.0,NO,4.0
7,3.0,16.0,0.0,1.0,MIN,Punt,-20.0,"3,16",65.0,54863.0,NO,4.0
8,4.0,3.0,0.0,1.0,MIN,Punt,-20.0,"4,3",52.0,54863.0,NO,4.0
0,1.0,10.0,1.0,1.0,NO,Punt,-46.0,"1,10",96.0,54863.0,MIN,5.0
1,2.0,9.0,1.0,1.0,NO,Punt,-46.0,"2,9",95.0,54863.0,MIN,5.0
2,1.0,10.0,1.0,1.0,NO,Punt,-46.0,"1,10",69.0,54863.0,MIN,5.0
3,1.0,15.0,1.0,1.0,NO,Punt,-46.0,"1,15",74.0,54863.0,MIN,5.0
5,2.0,15.0,1.0,1.0,NO,Punt,-46.0,"2,15",74.0,54863.0,MIN,5.0
6,1.0,10.0,1.0,1.0,NO,Punt,-46.0,"1,10",55.0,54863.0,MIN,5.0
7,2.0,3.0,1.0,1.0,NO,Punt,-46.0,"2,3",48.0,54863.0,MIN,5.0
8,2.0,10.0,1.0,1.0,NO,Punt,-46.0,"2,10",42.0,54863.0,MIN,5.0
9,3.0,18.0,1.0,1.0,NO,Punt,-46.0,"3,18",50.0,54863.0,MIN,5.0
10,1.0,10.0,0.0,1.0,NO,Punt,-46.0,"1,10",42.0,54863.0,MIN,5.0
12,4.0,8.0,0.0,1.0,NO,Punt,-46.0,"4,8",40.0,54863.0,MIN,5.0
0,1.0,10.0,1.0,1.0,MIN,Field Goal,-39.0,"1,10",89.0,54863.0,NO,6.0
1,2.0,10.0,1.0,1.0,MIN,Field Goal,-39.0,"2,10",89.0,54863.0,NO,6.0
2,1.0,10.0,1.0,1.0,MIN,Field Goal,-39.0,"1,10",78.0,54863.0,NO,6.0
3,2.0,4.0,1.0,1.0,MIN,Field Goal,-39.0,"2,4",72.0,54863.0,NO,6.0
4,3.0,2.0,1.0,1.0,MIN,Field Goal,-39.0,"3,2",70.0,54863.0,NO,6.0
5,1.0,10.0,1.0,1.0,MIN,Field Goal,-39.0,"1,10",62.0,54863.0,NO,6.0
6,2.0,9.0,1.0,1.0,MIN,Field Goal,-39.0,"2,9",61.0,54863.0,NO,6.0
7,3.0,11.0,1.0,1.0,MIN,Field Goal,-39.0,"3,11",63.0,54863.0,NO,6.0
8,3.0,11.0,1.0,1.0,MIN,Field Goal,-39.0,"3,11",63.0,54863.0,NO,6.0
9,1.0,10.0,1.0,1.0,MIN,Field Goal,-39.0,"1,10",49.0,54863.0,NO,6.0
10,2.0,1.0,1.0,1.0,MIN,Field Goal,-39.0,"2,1",40.0,54863.0,NO,6.0
11,1.0,10.0,1.0,1.0,MIN,Field Goal,-39.0,"1,10",36.0,54863.0,NO,6.0
12,2.0,1.0,1.0,1.0,MIN,Field Goal,-39.0,"2,1",27.0,54863.0,NO,6.0
13,1.0,10.0,0.0,1.0,MIN,Field Goal,-39.0,"1,10",24.0,54863.0,NO,6.0
14,2.0,11.0,0.0,1.0,MIN,Field Goal,-39.0,"2,11",25.0,54863.0,NO,6.0
16,3.0,9.0,0.0,1.0,MIN,Field Goal,-39.0,"3,9",23.0,54863.0,NO,6.0
17,4.0,9.0,0.0,1.0,MIN,Field Goal,-39.0,"4,9",23.0,54863.0,NO,6.0
1,1.0,10.0,1.0,1.0,NO,Punt,-18.0,"1,10",68.0,54863.0,MIN,7.0
2,1.0,20.0,0.0,1.0,NO,Punt,-18.0,"1,20",78.0,54863.0,MIN,7.0
3,2.0,14.0,0.0,1.0,NO,Punt,-18.0,"2,14",72.0,54863.0,MIN,7.0
4,3.0,14.0,0.0,1.0,NO,Punt,-18.0,"3,14",72.0,54863.0,MIN,7.0
5,3.0,19.0,0.0,1.0,NO,Punt,-18.0,"3,19",77.0,54863.0,MIN,7.0
6,4.0,19.0,0.0,1.0,NO,Punt,-18.0,"4,19",77.0,54863.0,MIN,7.0
0,1.0,10.0,1.0,1.0,MIN,Interception,-32.0,"1,10",82.0,54863.0,NO,8.0
1,1.0,10.0,0.0,1.0,MIN,Interception,-32.0,"1,10",70.0,54863.0,NO,8.0
2,2.0,9.0,0.0,1.0,MIN,Interception,-32.0,"2,9",69.0,54863.0,NO,8.0
0,1.0,10.0,0.0,1.0,NO,Missed FG,21.0,"1,10",29.0,54863.0,MIN,9.0
2,2.0,11.0,0.0,1.0,NO,Missed FG,21.0,"2,11",30.0,54863.0,MIN,9.0
3,3.0,9.0,0.0,1.0,NO,Missed FG,21.0,"3,9",28.0,54863.0,MIN,9.0
4,4.0,9.0,0.0,1.0,NO,Missed FG,21.0,"4,9",28.0,54863.0,MIN,9.0
0,1.0,10.0,1.0,1.0,MIN,Touchdown,-14.0,"1,10",64.0,54863.0,NO,10.0
1,2.0,4.0,1.0,1.0,MIN,Touchdown,-14.0,"2,4",58.0,54863.0,NO,10.0
3,3.0,1.0,1.0,1.0,MIN,Touchdown,-14.0,"3,1",55.0,54863.0,NO,10.0
4,1.0,10.0,1.0,1.0,MIN,Touchdown,-14.0,"1,10",53.0,54863.0,NO,10.0
6,1.0,10.0,1.0,1.0,MIN,Touchdown,-14.0,"1,10",20.0,54863.0,NO,10.0
1,1.0,10.0,0.0,1.0,NO,End of Half,-24.0,"1,10",74.0,54863.0,MIN,11.0
2,2.0,8.0,0.0,1.0,NO,End of Half,-24.0,"2,8",72.0,54863.0,MIN,11.0
1,1.0,10.0,1.0,1.0,MIN,Punt,-31.0,"1,10",81.0,54863.0,NO,12.0
2,1.0,10.0,0.0,1.0,MIN,Punt,-31.0,"1,10",68.0,54863.0,NO,12.0
3,2.0,4.0,0.0,1.0,MIN,Punt,-31.0,"2,4",62.0,54863.0,NO,12.0
4,3.0,3.0,0.0,1.0,MIN,Punt,-31.0,"3,3",61.0,54863.0,NO,12.0
5,4.0,3.0,0.0,1.0,MIN,Punt,-31.0,"4,3",61.0,54863.0,NO,12.0
0,1.0,10.0,1.0,1.0,NO,Touchdown,-24.0,"1,10",74.0,54863.0,MIN,13.0
1,2.0,10.0,1.0,1.0,NO,Touchdown,-24.0,"2,10",74.0,54863.0,MIN,13.0
2,1.0,10.0,1.0,1.0,NO,Touchdown,-24.0,"1,10",63.0,54863.0,MIN,13.0
3,2.0,4.0,1.0,1.0,NO,Touchdown,-24.0,"2,4",57.0,54863.0,MIN,13.0
4,1.0,10.0,1.0,1.0,NO,Touchdown,-24.0,"1,10",52.0,54863.0,MIN,13.0
5,2.0,1.0,1.0,1.0,NO,Touchdown,-24.0,"2,1",43.0,54863.0,MIN,13.0
6,1.0,10.0,1.0,1.0,NO,Touchdown,-24.0,"1,10",37.0,54863.0,MIN,13.0
7,2.0,13.0,1.0,1.0,NO,Touchdown,-24.0,"2,13",40.0,54863.0,MIN,13.0
8,2.0,8.0,1.0,1.0,NO,Touchdown,-24.0,"2,8",35.0,54863.0,MIN,13.0
9,1.0,10.0,1.0,1.0,NO,Touchdown,-24.0,"1,10",21.0,54863.0,MIN,13.0
10,1.0,6.0,1.0,1.0,NO,Touchdown,-24.0,"1,6",6.0,54863.0,MIN,13.0
11,2.0,1.0,1.0,1.0,NO,Touchdown,-24.0,"2,1",1.0,54863.0,MIN,13.0
1,1.0,10.0,0.0,1.0,MIN,Punt,-34.0,"1,10",84.0,54863.0,NO,14.0
2,2.0,9.0,0.0,1.0,MIN,Punt,-34.0,"2,9",83.0,54863.0,NO,14.0
3,3.0,9.0,0.0,1.0,MIN,Punt,-34.0,"3,9",83.0,54863.0,NO,14.0
4,4.0,9.0,0.0,1.0,MIN,Punt,-34.0,"4,9",83.0,54863.0,NO,14.0
0,1.0,10.0,0.0,1.0,NO,Punt,-19.0,"1,10",69.0,54863.0,MIN,15.0
1,2.0,8.0,0.0,1.0,NO,Punt,-19.0,"2,8",67.0,54863.0,MIN,15.0
2,3.0,7.0,0.0,1.0,NO,Punt,-19.0,"3,7",66.0,54863.0,MIN,15.0
3,4.0,6.0,0.0,1.0,NO,Punt,-19.0,"4,6",65.0,54863.0,MIN,15.0
0,1.0,10.0,0.0,1.0,MIN,Punt,-19.0,"1,10",69.0,54863.0,NO,16.0
1,2.0,4.0,0.0,1.0,MIN,Punt,-19.0,"2,4",63.0,54863.0,NO,16.0
2,3.0,13.0,0.0,1.0,MIN,Punt,-19.0,"3,13",72.0,54863.0,NO,16.0
3,4.0,13.0,0.0,1.0,MIN,Punt,-19.0,"4,13",72.0,54863.0,NO,16.0
0,1.0,10.0,0.0,1.0,NO,Punt,-24.0,"1,10",74.0,54863.0,MIN,17.0
1,2.0,9.0,0.0,1.0,NO,Punt,-24.0,"2,9",73.0,54863.0,MIN,17.0
3,3.0,9.0,0.0,1.0,NO,Punt,-24.0,"3,9",73.0,54863.0,MIN,17.0
4,4.0,9.0,0.0,1.0,NO,Punt,-24.0,"4,9",73.0,54863.0,MIN,17.0
5,4.0,9.0,0.0,1.0,NO,Punt,-24.0,"4,9",73.0,54863.0,MIN,17.0
0,1.0,10.0,0.0,1.0,MIN,Punt,-37.0,"1,10",87.0,54863.0,NO,18.0
2,2.0,7.0,0.0,1.0,MIN,Punt,-37.0,"2,7",84.0,54863.0,NO,18.0
3,3.0,7.0,0.0,1.0,MIN,Punt,-37.0,"3,7",84.0,54863.0,NO,18.0
4,4.0,7.0,0.0,1.0,MIN,Punt,-37.0,"4,7",84.0,54863.0,NO,18.0
0,1.0,10.0,1.0,1.0,NO,Missed FG,-10.0,"1,10",60.0,54863.0,MIN,19.0
1,2.0,4.0,1.0,1.0,NO,Missed FG,-10.0,"2,4",54.0,54863.0,MIN,19.0
2,1.0,10.0,1.0,1.0,NO,Missed FG,-10.0,"1,10",44.0,54863.0,MIN,19.0
3,2.0,3.0,1.0,1.0,NO,Missed FG,-10.0,"2,3",37.0,54863.0,MIN,19.0
4,1.0,10.0,1.0,1.0,NO,Missed FG,-10.0,"1,10",33.0,54863.0,MIN,19.0
5,2.0,9.0,1.0,1.0,NO,Missed FG,-10.0,"2,9",32.0,54863.0,MIN,19.0
6,1.0,10.0,0.0,1.0,NO,Missed FG,-10.0,"1,10",18.0,54863.0,MIN,19.0
7,2.0,9.0,0.0,1.0,NO,Missed FG,-10.0,"2,9",17.0,54863.0,MIN,19.0
8,3.0,6.0,0.0,1.0,NO,Missed FG,-10.0,"3,6",14.0,54863.0,MIN,19.0
9,4.0,6.0,0.0,1.0,NO,Missed FG,-10.0,"4,6",14.0,54863.0,MIN,19.0
0,1.0,10.0,1.0,1.0,MIN,Punt,-28.0,"1,10",78.0,54863.0,NO,20.0
1,2.0,10.0,1.0,1.0,MIN,Punt,-28.0,"2,10",78.0,54863.0,NO,20.0
2,3.0,4.0,1.0,1.0,MIN,Punt,-28.0,"3,4",72.0,54863.0,NO,20.0
3,1.0,10.0,1.0,1.0,MIN,Punt,-28.0,"1,10",43.0,54863.0,NO,20.0
4,1.0,20.0,0.0,1.0,MIN,Punt,-28.0,"1,20",53.0,54863.0,NO,20.0
5,2.0,23.0,0.0,1.0,MIN,Punt,-28.0,"2,23",56.0,54863.0,NO,20.0
6,3.0,11.0,0.0,1.0,MIN,Punt,-28.0,"3,11",44.0,54863.0,NO,20.0
7,4.0,11.0,0.0,1.0,MIN,Punt,-28.0,"4,11",44.0,54863.0,NO,20.0
1,1.0,10.0,1.0,1.0,TB,Punt,-30.0,"1,10",80.0,54871.0,CLE,1.0
2,2.0,2.0,1.0,1.0,TB,Punt,-30.0,"2,2",72.0,54871.0,CLE,1.0
3,3.0,1.0,1.0,1.0,TB,Punt,-30.0,"3,1",71.0,54871.0,CLE,1.0
4,1.0,10.0,1.0,1.0,TB,Punt,-30.0,"1,10",69.0,54871.0,CLE,1.0
5,2.0,9.0,1.0,1.0,TB,Punt,-30.0,"2,9",68.0,54871.0,CLE,1.0
6,3.0,1.0,1.0,1.0,TB,Punt,-30.0,"3,1",60.0,54871.0,CLE,1.0
7,1.0,10.0,0.0,1.0,TB,Punt,-30.0,"1,10",51.0,54871.0,CLE,1.0
8,2.0,5.0,0.0,1.0,TB,Punt,-30.0,"2,5",46.0,54871.0,CLE,1.0
9,3.0,5.0,0.0,1.0,TB,Punt,-30.0,"3,5",46.0,54871.0,CLE,1.0
10,4.0,6.0,0.0,1.0,TB,Punt,-30.0,"4,6",47.0,54871.0,CLE,1.0
0,1.0,10.0,1.0,1.0,CLE,Punt,-37.0,"1,10",87.0,54871.0,TB,2.0
1,1.0,10.0,0.0,1.0,CLE,Punt,-37.0,"1,10",71.0,54871.0,TB,2.0
2,2.0,10.0,0.0,1.0,CLE,Punt,-37.0,"2,10",71.0,54871.0,TB,2.0
3,3.0,3.0,0.0,1.0,CLE,Punt,-37.0,"3,3",64.0,54871.0,TB,2.0
4,4.0,3.0,0.0,1.0,CLE,Punt,-37.0,"4,3",64.0,54871.0,TB,2.0
0,1.0,10.0,0.0,1.0,TB,Punt,-20.0,"1,10",70.0,54871.0,CLE,3.0
1,2.0,8.0,0.0,1.0,TB,Punt,-20.0,"2,8",68.0,54871.0,CLE,3.0
2,3.0,7.0,0.0,1.0,TB,Punt,-20.0,"3,7",67.0,54871.0,CLE,3.0
3,4.0,11.0,0.0,1.0,TB,Punt,-20.0,"4,11",71.0,54871.0,CLE,3.0
0,1.0,10.0,1.0,1.0,CLE,Touchdown,-11.0,"1,10",61.0,54871.0,TB,4.0
1,2.0,5.0,1.0,1.0,CLE,Touchdown,-11.0,"2,5",56.0,54871.0,TB,4.0
2,3.0,5.0,1.0,1.0,CLE,Touchdown,-11.0,"3,5",56.0,54871.0,TB,4.0
3,1.0,10.0,1.0,1.0,CLE,Touchdown,-11.0,"1,10",51.0,54871.0,TB,4.0
4,2.0,12.0,1.0,1.0,CLE,Touchdown,-11.0,"2,12",53.0,54871.0,TB,4.0
5,3.0,12.0,1.0,1.0,CLE,Touchdown,-11.0,"3,12",53.0,54871.0,TB,4.0
6,1.0,10.0,1.0,1.0,CLE,Touchdown,-11.0,"1,10",41.0,54871.0,TB,4.0
1,1.0,10.0,1.0,1.0,TB,Field Goal,-29.0,"1,10",79.0,54871.0,CLE,5.0
2,1.0,10.0,1.0,1.0,TB,Field Goal,-29.0,"1,10",63.0,54871.0,CLE,5.0
3,1.0,10.0,0.0,1.0,TB,Field Goal,-29.0,"1,10",30.0,54871.0,CLE,5.0
4,2.0,10.0,0.0,1.0,TB,Field Goal,-29.0,"2,10",30.0,54871.0,CLE,5.0
6,3.0,10.0,0.0,1.0,TB,Field Goal,-29.0,"3,10",30.0,54871.0,CLE,5.0
7,4.0,10.0,0.0,1.0,TB,Field Goal,-29.0,"4,10",30.0,54871.0,CLE,5.0
1,1.0,10.0,1.0,1.0,CLE,Punt,-31.0,"1,10",81.0,54871.0,TB,6.0
3,2.0,6.0,1.0,1.0,CLE,Punt,-31.0,"2,6",77.0,54871.0,TB,6.0
4,3.0,5.0,1.0,1.0,CLE,Punt,-31.0,"3,5",76.0,54871.0,TB,6.0
5,1.0,10.0,1.0,1.0,CLE,Punt,-31.0,"1,10",70.0,54871.0,TB,6.0
6,2.0,8.0,1.0,1.0,CLE,Punt,-31.0,"2,8",68.0,54871.0,TB,6.0
7,1.0,10.0,1.0,1.0,CLE,Punt,-31.0,"1,10",57.0,54871.0,TB,6.0
8,2.0,8.0,1.0,1.0,CLE,Punt,-31.0,"2,8",55.0,54871.0,TB,6.0
9,1.0,10.0,0.0,1.0,CLE,Punt,-31.0,"1,10",46.0,54871.0,TB,6.0
10,2.0,4.0,0.0,1.0,CLE,Punt,-31.0,"2,4",40.0,54871.0,TB,6.0
11,3.0,4.0,0.0,1.0,CLE,Punt,-31.0,"3,4",40.0,54871.0,TB,6.0
12,4.0,4.0,0.0,1.0,CLE,Punt,-31.0,"4,4",40.0,54871.0,TB,6.0
0,1.0,10.0,0.0,1.0,TB,Punt,-30.0,"1,10",80.0,54871.0,CLE,7.0
1,2.0,12.0,0.0,1.0,TB,Punt,-30.0,"2,12",82.0,54871.0,CLE,7.0
2,3.0,12.0,0.0,1.0,TB,Punt,-30.0,"3,12",82.0,54871.0,CLE,7.0
3,4.0,9.0,0.0,1.0,TB,Punt,-30.0,"4,9",79.0,54871.0,CLE,7.0
0,1.0,10.0,1.0,1.0,CLE,Touchdown,-13.0,"1,10",63.0,54871.0,TB,8.0
