,Down,Distance,Rate,Number
0,2.0,1.0,0.8655549765502866,3838.0
1,2.0,2.0,0.8148148148148148,2970.0
2,2.0,3.0,0.7687587168758717,3585.0
3,2.0,4.0,0.7368421052631579,4218.0
4,2.0,5.0,0.7029683885890516,5188.0
5,2.0,6.0,0.6591943957968477,5710.0
6,2.0,7.0,0.6254851228978008,6184.0
7,2.0,8.0,0.5758329189457981,6033.0
8,2.0,9.0,0.5467836257309941,5130.0
9,1.0,1.0,0.8865866957470011,917.0
10,1.0,2.0,0.8425531914893617,470.0
11,1.0,3.0,0.8276595744680851,470.0
12,1.0,4.0,0.7706237424547284,497.0
13,1.0,5.0,0.8042194092827004,1185.0
14,1.0,6.0,0.6986817325800376,531.0
15,1.0,7.0,0.693069306930693,505.0
16,1.0,8.0,0.6396917148362236,519.0
17,1.0,9.0,0.6264855687606112,589.0
18,4.0,10.0,0.03628367234744365,1819.0
19,4.0,11.0,0.016008537886873,937.0
20,4.0,12.0,0.012016021361815754,749.0
21,4.0,13.0,0.0072992700729927005,685.0
22,4.0,14.0,0.013377926421404682,598.0
23,4.0,15.0,0.014492753623188406,621.0
24,4.0,16.0,0.009237875288683603,433.0
25,4.0,17.0,0.012195121951219513,410.0
26,4.0,18.0,0.01488095238095238,336.0
27,3.0,10.0,0.3488048271060571,4309.0
28,4.0,19.0,0.010344827586206896,290.0
29,3.0,11.0,0.2927899686520376,1595.0
30,3.0,12.0,0.2829108748977923,1223.0
31,3.0,13.0,0.2357563850687623,1018.0
32,3.0,14.0,0.23312101910828026,785.0
33,3.0,15.0,0.19197396963123645,922.0
34,3.0,16.0,0.15053763440860216,558.0
35,3.0,17.0,0.17519685039370078,508.0
36,3.0,18.0,0.14742014742014742,407.0
37,2.0,10.0,0.5378229933840969,16022.0
38,3.0,19.0,0.1402116402116402,378.0
39,2.0,11.0,0.479963980189104,2221.0
40,2.0,12.0,0.47840103159252095,1551.0
41,2.0,13.0,0.4387931034482759,1160.0
42,2.0,14.0,0.4223744292237443,876.0
43,2.0,15.0,0.39384372533543804,1267.0
44,2.0,16.0,0.3620689655172414,580.0
45,2.0,17.0,0.385146804835924,579.0
46,2.0,18.0,0.31285988483685223,521.0
47,1.0,10.0,0.6958764741874722,83351.0
48,2.0,19.0,0.2817258883248731,394.0
49,1.0,11.0,0.5319148936170213,47.0
50,1.0,12.0,0.42,50.0
51,1.0,13.0,0.5272727272727272,55.0
52,4.0,20.0,0.019157088122605363,261.0
53,1.0,14.0,0.5128205128205128,78.0
54,4.0,21.0,0.013986013986013986,143.0
55,1.0,15.0,0.5717079530638852,1534.0
56,4.0,22.0,0.007194244604316547,139.0
57,1.0,16.0,0.5344827586206896,58.0
58,1.0,17.0,0.46153846153846156,52.0
59,4.0,23.0,0.009345794392523364,107.0
60,4.0,24.0,0.0,70.0
61,1.0,18.0,0.5853658536585366,41.0
62,4.0,25.0,0.0,77.0
63,1.0,19.0,0.5373134328358209,67.0
64,4.0,26.0,0.022727272727272728,44.0
65,4.0,27.0,0.0,38.0
66,4.0,28.0,0.03333333333333333,30.0
67,3.0,20.0,0.14606741573033707,356.0
68,4.0,29.0,0.03125,32.0
69,3.0,21.0,0.10582010582010581,189.0
70,3.0,22.0,0.09352517985611511,139.0
71,3.0,23.0,0.06930693069306931,101.0
72,3.0,24.0,0.07446808510638298,94.0
73,3.0,25.0,0.10989010989010989,91.0
74,3.0,26.0,0.07407407407407407,54.0
75,3.0,27.0,0.05405405405405406,37.0
76,3.0,28.0,0.0625,32.0
77,2.0,20.0,0.29071332436069985,743.0
78,3.0,29.0,0.08333333333333333,24.0
