,Team,year,Gain
0,PHI,2013,6.0
1,PHI,2013,16.0
2,PHI,2013,6.0
3,PHI,2013,0.0
4,PHI,2013,26.0
5,PHI,2013,10.0
6,PHI,2013,1.0
7,PHI,2013,0.0
8,PHI,2013,25.0
9,PHI,2013,16.0
10,PHI,2013,-10.0
11,PHI,2013,1.0
12,PHI,2013,11.0
13,PHI,2013,0.0
14,PHI,2013,2.0
15,PHI,2013,4.0
16,PHI,2013,12.0
17,PHI,2013,-1.0
18,PHI,2013,7.0
19,PHI,2013,3.0
20,PHI,2013,8.0
21,PHI,2013,10.0
22,PHI,2013,6.0
23,PHI,2013,-4.0
24,PHI,2013,6.0
25,PHI,2013,-5.0
26,PHI,2013,8.0
27,PHI,2013,-3.0
28,PHI,2013,7.0
29,PHI,2013,2.0
30,PHI,2013,4.0
31,PHI,2013,2.0
32,PHI,2013,5.0
33,PHI,2013,4.0
34,PHI,2013,8.0
35,PHI,2013,70.0
36,PHI,2013,9.0
37,PHI,2013,-11.0
38,PHI,2013,17.0
39,PHI,2013,41.0
40,PHI,2013,4.0
41,PHI,2013,3.0
42,PHI,2013,0.0
43,PHI,2013,0.0
44,PHI,2013,20.0
45,PHI,2013,0.0
46,PHI,2013,0.0
47,PHI,2013,31.0
48,PHI,2013,-5.0
49,PHI,2013,4.0
50,PHI,2013,0.0
51,PHI,2013,4.0
52,PHI,2013,21.0
53,PHI,2013,-5.0
54,PHI,2013,0.0
55,PHI,2013,0.0
56,PHI,2013,11.0
57,PHI,2013,10.0
58,PHI,2013,25.0
59,PHI,2013,0.0
60,PHI,2013,5.0
61,PHI,2013,0.0
62,PHI,2013,1.0
63,PHI,2013,-4.0
64,PHI,2013,61.0
65,PHI,2013,4.0
66,PHI,2013,7.0
67,PHI,2013,0.0
68,PHI,2013,8.0
69,PHI,2013,0.0
70,PHI,2013,5.0
71,PHI,2013,2.0
72,PHI,2013,0.0
73,PHI,2013,0.0
74,PHI,2013,-7.0
75,PHI,2013,-10.0
76,PHI,2013,3.0
77,PHI,2013,6.0
78,PHI,2013,13.0
79,PHI,2013,13.0
80,PHI,2013,0.0
81,PHI,2013,7.0
82,PHI,2013,4.0
83,PHI,2013,-2.0
84,PHI,2013,0.0
85,PHI,2013,20.0
86,PHI,2013,41.0
87,PHI,2013,-5.0
88,PHI,2013,0.0
89,PHI,2013,16.0
90,PHI,2013,0.0
91,PHI,2013,3.0
92,PHI,2013,8.0
93,PHI,2013,13.0
94,PHI,2013,24.0
95,PHI,2013,0.0
96,PHI,2013,5.0
97,PHI,2013,0.0
98,PHI,2013,9.0
99,PHI,2013,7.0
100,PHI,2013,6.0
101,PHI,2013,0.0
102,PHI,2013,6.0
103,PHI,2013,-1.0
104,PHI,2013,15.0
105,PHI,2013,3.0
106,PHI,2013,-10.0
107,PHI,2013,0.0
108,PHI,2013,9.0
109,PHI,2013,2.0
110,PHI,2013,0.0
111,PHI,2013,-3.0
112,PHI,2013,0.0
113,PHI,2013,2.0
114,PHI,2013,10.0
115,PHI,2013,38.0
116,PHI,2013,0.0
117,PHI,2013,1.0
118,PHI,2013,0.0
